twitter,instagram,facebook,snapchat,youtube,whatsapp,pinterest,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,age,education
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,97.0,82,7
1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,,4.0,,4.0,2.0,31,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,82,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,70,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,12.0,56,1
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,4.0,50,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,47,7
,,,,,,,,,,,,1.0,99,99
2.0,2.0,1.0,2.0,1.0,8.0,8.0,,,1.0,,2.0,6.0,43,6
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,2.0,,3.0,,75,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,20.0,82,6
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,3.0,2.0,50,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,12.0,60,6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,20.0,47,6
1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,,1.0,,66,99
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,1.0,96.0,68,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,74,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,70,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,6.0,73,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,5.0,97.0,69,5
,,,,,,,,,,,,99.0,84,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,75,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,80,4
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,8.0,1.0,40.0,45,6
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,54,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,12.0,78,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,1.0,4.0,33,4
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,5.0,20.0,40,8
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,2.0,60,6
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,5.0,12.0,40,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,5.0,3.0,53,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,68,5
,,,,,,,,,,,,99.0,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,99.0,99,99
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,3.0,99,6
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,5.0,23,3
2.0,2.0,8.0,2.0,2.0,2.0,2.0,,,,,,98.0,78,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,63,6
,,,,,,,,,,,,,62,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,60,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,82,3
,,,,,,,,,,,,50.0,71,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,77,5
2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,2.0,,37,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,98.0,88,3
1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,,3.0,,3.0,2.0,62,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,40.0,65,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,12.0,57,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,5.0,,5.0,8.0,55,7
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,70,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,4.0,30.0,77,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,84,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,61,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,66,4
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,3.0,9.0,77,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,50.0,61,7
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,3.0,24.0,34,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,73,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,17.0,28,3
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,,40,5
1.0,1.0,1.0,2.0,1.0,8.0,8.0,3.0,2.0,3.0,,5.0,,38,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,2.0,54,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,12.0,48,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,66,1
,,,,,,,,,,,,,73,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,77,3
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,4.0,,1.0,30.0,55,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,,1.0,96.0,48,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,1.0,81,2
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,4.0,,3.0,4.0,51,8
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,4.0,,99,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,10.0,43,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,25.0,60,4
,,,,,,,,,,,,,92,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,12.0,66,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,24.0,29,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,14.0,99,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,2.0,,3.0,36.0,66,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,78,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,5.0,25.0,75,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,3.0,47,8
2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,3.0,1.0,60.0,30,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,3.0,12.0,48,7
2.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.0,3.0,,3.0,55,5
,,,,,,,,,,,,8.0,90,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,,77,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,84,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,3.0,,67,7
,,,,,,,,,,,,2.0,42,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,40.0,88,3
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,5.0,97.0,68,7
,,,,,,,,,,,,,70,1
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,60,6
,,,,,,,,,,,,,79,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,,60,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,5.0,12.0,62,8
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,62,5
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,,83,2
2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,57,4
,,,,,,,,,,,,6.0,25,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,70,3
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,,3.0,10.0,62,4
,,,,,,,,,,,,98.0,48,1
1.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,,8.0,5.0,,,97,99
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,63,5
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,,76,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,5.0,,1.0,15.0,99,7
1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,32.0,50,8
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,56,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,59,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,60,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,3.0,,20,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,73.0,37,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,2.0,63,6
2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,5.0,62,4
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,3.0,10.0,45,6
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,2.0,58,3
2.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,,1.0,3.0,46,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,22,3
1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,,2.0,,,,46,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,15.0,64,8
1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,3.0,,3.0,,80,7
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,2.0,,70,3
1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,,1.0,2.0,74,7
,,,,,,,,,,,,,68,5
2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,1.0,3.0,,,54,3
2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,4.0,22,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,2.0,,3.0,97.0,67,3
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,4.0,1.0,,62,6
2.0,1.0,1.0,2.0,2.0,2.0,2.0,,3.0,1.0,,,12.0,66,3
,,,,,,,,,,,,60.0,74,3
,,,,,,,,,,,,4.0,73,3
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,,3.0,4.0,68,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,3.0,69,5
,,,,,,,,,,,,,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,73,5
1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,3.0,61,7
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,29,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,54,2
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,3.0,78,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,80,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,72,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,65,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,80,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,,3.0,12.0,71,6
1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,52,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,,3.0,7.0,66,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,8.0,71,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,25.0,46,7
,,,,,,,,,,,,35.0,93,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,,55,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,67,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,36.0,66,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,15.0,68,6
1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,3.0,20.0,83,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,30.0,19,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,4.0,70,6
2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,5.0,3.0,,75,2
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,10.0,70,6
2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,2.0,3.0,3.0,,58,2
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,20.0,67,4
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,5.0,43,4
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,3.0,3.0,4.0,50.0,75,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,58,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,81,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,12.0,79,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,82,5
,,,,,,,,,,,,,75,1
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,,52,4
,,,,,,,,,,,,,56,2
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,10.0,63,6
2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,3.0,2.0,30.0,99,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,16.0,66,5
1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,,1.0,20.0,70,5
,,,,,,,,,,,,,89,1
,,,,,,,,,,,,1.0,55,2
2.0,2.0,2.0,2.0,2.0,8.0,2.0,,,,,,20.0,62,6
